1,76
2,72
3,71
4,73
5,70
6,67
7,68
8,66
9,69
10,66
11,73
12,73
13,72
14,100
15,80
16,85
17,41
18,71
19,80
20,69
21,81
22,72
23,94
24,73
25,67
26,60
27,91
28,3
29,4
30,36
31,69
32,73
33,36
34,26
35,74
36,36
37,40
38,39
39,75
40,54
41,39
42,63
43,70
44,25
45,74
46,25
47,67
48,67
49,23
50,36
51,17
52,28
53,32
54,28
55,101
56,56
57,12
58,16
59,27
60,40
61,63
62,30
63,11
64,1
65,37
66,20
67,1
68,2
69,2
70,1
71,2
72,2
73,6
74,18
75,17
76,44
77,28
78,1
79,1
80,9
81,8
82,2
83,1
84,17
85,4
86,1
87,9
88,12
89,13
90,12
91,10
92,5
93,2
94,3
95,2
96,2
97,2
98,2
99,12
100,11
101,3
102,14
103,2
104,2
105,1
106,3
107,3
108,2
109,7
110,2
111,4
112,8
113,1
114,14
115,5
116,3
117,11
118,7
119,2
120,1
121,1
122,3
123,11
124,8
125,12
126,3
127,5
128,2
129,1
130,3
131,2
132,8
133,14
134,2
135,3
136,3
137,2
138,2
139,1
140,1
141,1
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,3
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,2
161,2
162,5
163,2
164,1
165,4
166,3
167,1
168,2
169,2
170,2
171,2
172,2
173,2
174,6
175,5
176,1
177,4
178,2
179,2
180,3
181,4
182,2
183,5
184,1
185,2
186,3
187,3
188,2
189,1
190,1
191,1
192,2
193,1
194,1
195,1
196,1
197,1
198,4
199,4
200,1
201,2
202,5
203,2
204,8
205,5
206,1
207,2
208,2
209,3
210,2
211,4
212,2
213,2
214,3
215,3
216,2
217,2
218,3
219,1
220,3
221,2
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,3
230,2
231,1
232,2
233,1
234,2
235,2
236,2
237,2
238,2
239,1
240,1
241,1
242,1
243,3
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,2
253,1
254,1
255,2
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
