1,5
2,6
3,20
4,2
5,5
6,2
113,3
114,5
115,2
116,1
117,1
14,1
139,2
255,3
283,1
319,5
487,3
530,2
642,4
816,4
823,1
1031,5
1082,3
1374,2
1406,5
1425,1
1435,6
1436,1
1437,6
1438,1
1448,5
664,4
801,3
1134,7
1591,3
1337,2
7,3
8,3
9,3
10,2
658,3
660,5
831,3
11,2
12,3
13,5
119,7
219,2
711,3
15,2
16,25
17,7
135,3
136,2
137,2
138,3
140,1
141,4
142,7
143,2
144,3
145,5
146,2
147,3
148,2
149,1
150,1
151,1
152,1
153,1
154,2
155,1
156,1
157,1
158,1
185,3
428,6
1275,1
1450,2
1511,2
1590,1
18,1
19,20
47,12
91,10
193,3
210,3
244,13
338,2
393,4
475,5
476,6
779,2
1106,2
1107,1
1108,3
1109,3
1110,4
1111,8
1112,6
1113,1
20,3
21,2
22,5
23,2
794,5
1233,2
1234,1
24,3
25,4
26,38
27,2
122,4
359,1
1408,4
30,9
59,15
78,29
82,9
112,6
199,7
354,2
374,6
389,1
400,5
408,3
431,4
490,2
570,1
592,7
647,2
750,4
803,1
862,8
878,1
923,2
969,5
1051,2
1202,6
1301,1
1345,1
1348,2
1353,6
1355,1
1362,1
1388,3
1421,4
1516,2
1622,1
1623,1
411,6
28,3
29,3
31,4
1126,4
1076,1
1125,4
1184,8
1267,1
1268,3
774,6
32,1
33,2
799,2
34,1
35,1
36,9
37,18
38,12
39,1
40,5
41,3
42,2
43,1
44,2
45,2
105,4
277,6
278,2
280,2
298,4
299,2
300,2
301,1
302,1
303,1
304,2
305,3
306,2
307,3
308,1
309,3
442,11
650,2
651,14
652,2
653,1
654,1
655,1
656,9
657,1
331,8
690,7
740,10
1282,2
46,11
257,11
1754,1
48,6
49,2
50,7
51,6
52,3
53,1
54,1
55,1
56,2
103,7
178,3
339,2
340,2
341,2
342,1
716,1
879,3
880,1
558,18
402,13
405,11
659,3
1396,1
1717,1
65,10
1204,5
57,5
58,30
60,29
61,1
62,7
106,5
221,3
261,2
321,5
399,2
401,4
403,3
404,5
406,3
407,4
409,5
410,4
412,6
413,2
414,1
415,1
416,1
417,1
418,1
419,1
420,2
90,3
347,5
754,6
1105,4
1175,1
1210,1
1211,1
1212,2
1213,1
1214,3
1215,1
1216,4
1217,1
77,5
165,1
251,2
258,1
260,6
263,2
484,1
506,4
546,2
842,5
988,3
992,6
1079,2
1084,2
1094,3
1141,1
1283,1
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,2
1404,1
1405,1
464,13
845,3
1058,10
1776,1
63,2
64,1
80,9
272,3
562,3
913,3
1318,5
1600,4
1668,1
66,1
67,2
68,2
69,1
70,2
160,3
71,3
72,3
73,3
74,3
75,1
76,15
164,4
213,6
216,2
217,3
218,2
438,2
563,1
780,2
829,2
950,2
1067,1
1068,3
1069,1
79,21
107,5
232,14
312,2
473,2
686,6
723,5
724,6
810,4
826,2
1120,7
1222,2
1327,1
1375,1
1389,3
1486,2
1508,1
1596,4
1598,2
1601,4
1631,3
1632,1
1633,1
88,7
89,3
92,3
284,2
478,5
1032,3
1145,3
1316,4
1412,2
1638,2
1764,2
1765,1
1766,1
1767,1
1768,1
1023,2
1093,3
1191,5
1383,3
1826,1
1827,1
81,2
83,1
169,6
170,3
355,3
356,3
357,2
358,1
84,2
85,1
86,1
87,5
267,5
268,4
269,3
747,1
93,1
94,1
929,4
1386,3
1711,1
894,3
95,1
96,1
97,1
98,2
99,1
100,1
101,6
102,4
104,5
684,8
685,5
971,1
972,4
1200,1
